,LEAID,County,State,State/County,School District,ALL_MTH00pctprof_1112,ALL_RLA00pctprof_1112,Ages 5 to 17 in Families in Poverty Percent
1887,628950,San Bernardino County,CA,San Bernardino County CA,Oro Grande Elementary,39.0,50.0,25.55
1888,629100,Butte County,CA,Butte County CA,Oroville City Elementary,46.0,50.0,25.700000000000003
1889,629130,Butte County,CA,Butte County CA,Oroville Union High,44.0,44.0,25.700000000000003
1890,629160,Tulare County,CA,Tulare County CA,Outside Creek Elementary,32.0,42.0,36.8
1891,629190,Inyo County,CA,Inyo County CA,Owens Valley Unified,44.5,44.5,19.0
1892,629220,Ventura County,CA,Ventura County CA,Oxnard,46.0,42.0,15.45
1893,629270,Ventura County,CA,Ventura County CA,Oxnard Union High,55.0,53.0,15.45
1894,629280,Shasta County,CA,Shasta County CA,Pacheco Union Elementary,48.0,52.0,24.0
1895,629340,Santa Cruz County,CA,Santa Cruz County CA,Pacific Elementary,64.5,64.5,16.95
1896,629370,Monterey County,CA,Monterey County CA,Pacific Grove Unified,71.0,79.0,24.5
1897,629400,Fresno County,CA,Fresno County CA,Pacific Union Elementary,63.0,60.0,35.25
1898,629430,Humboldt County,CA,Humboldt County CA,Pacific Union Elementary,55.0,61.0,24.8
1899,629490,Santa Cruz County,CA,Santa Cruz County CA,Pajaro Valley Unified,46.0,43.0,16.95
1900,629540,Butte County,CA,Butte County CA,Palermo Union Elementary,55.0,49.0,25.700000000000003
1901,629550,Riverside County,CA,Riverside County CA,Palm Springs Unified,51.0,47.0,23.05
1902,629580,Los Angeles County,CA,Los Angeles County CA,Palmdale Elementary,47.0,44.0,25.75
1903,629610,Santa Clara County,CA,Santa Clara County CA,Palo Alto Unified,86.0,88.0,12.3
1904,629640,Riverside County,CA,Riverside County CA,Palo Verde Unified,40.0,35.0,23.05
1905,629670,Tulare County,CA,Tulare County CA,Palo Verde Union Elementary,60.0,55.0,36.8
1906,629700,Los Angeles County,CA,Los Angeles County CA,Palos Verdes Peninsula Unified,85.0,87.0,25.75
1908,629790,Stanislaus County,CA,Stanislaus County CA,Paradise Elementary,72.0,62.0,27.8
1909,629820,Butte County,CA,Butte County CA,Paradise Unified,48.0,56.0,25.700000000000003
1910,629850,Los Angeles County,CA,Los Angeles County CA,Paramount Unified,57.0,47.0,25.75
1911,629910,Fresno County,CA,Fresno County CA,Parlier Unified,43.0,32.0,35.25
1912,629940,Los Angeles County,CA,Los Angeles County CA,Pasadena Unified,52.0,52.0,25.75
1913,630030,Stanislaus County,CA,Stanislaus County CA,Patterson Joint Unified,52.0,48.0,27.8
1914,630090,Humboldt County,CA,Humboldt County CA,Peninsula Union,49.5,49.5,24.8
1915,630180,Riverside County,CA,Riverside County CA,Perris Elementary,51.0,40.0,23.05
1916,630210,Riverside County,CA,Riverside County CA,Perris Union High,45.0,48.0,23.05
1919,630330,Alameda County,CA,Alameda County CA,Piedmont City Unified,91.0,93.0,16.0
1920,630360,Colusa County,CA,Colusa County CA,Pierce Joint Unified,52.0,50.0,18.85
1921,630390,Fresno County,CA,Fresno County CA,Pine Ridge Elementary,64.5,74.5,35.25
1922,630450,Sonoma County,CA,Sonoma County CA,Piner-Olivet Union Elementary,56.0,60.0,13.8
1923,630480,El Dorado County,CA,El Dorado County CA,Pioneer Union Elementary,70.0,71.0,11.45
1925,630520,Butte County,CA,Butte County CA,Pioneer Union Elementary,34.5,34.5,25.700000000000003
1926,630600,Contra Costa County,CA,Contra Costa County CA,Pittsburg Unified,49.0,46.0,13.7
1927,630630,Tulare County,CA,Tulare County CA,Pixley Union Elementary,39.0,33.0,36.8
1928,630660,Orange County,CA,Orange County CA,Placentia-Yorba Linda Unified,73.0,72.0,17.0
1929,630720,Placer County,CA,Placer County CA,Placer Hills Union Elementary,75.0,75.0,9.55
1930,630750,Placer County,CA,Placer County CA,Placer Union High,74.0,75.0,9.55
1931,630780,El Dorado County,CA,El Dorado County CA,Placerville Union Elementary,70.0,66.0,11.45
1932,630810,Merced County,CA,Merced County CA,Plainsburg Union Elementary,67.0,67.0,35.55
1933,630840,Merced County,CA,Merced County CA,Planada Elementary,59.0,50.0,35.55
1934,630870,Glenn County,CA,Glenn County CA,Plaza Elementary,82.0,72.0,25.1
1935,630900,Sutter County,CA,Sutter County CA,Pleasant Grove Joint Union,77.0,67.0,22.45
1936,630930,Nevada County,CA,Nevada County CA,Pleasant Ridge Union Elementary,64.0,75.0,15.5
1937,630960,Nevada County,CA,Nevada County CA,Pleasant Valley Elementary,67.0,66.0,15.5
1938,630990,Ventura County,CA,Ventura County CA,Pleasant Valley,64.0,72.0,15.45
1939,631020,San Luis Obispo County,CA,San Luis Obispo County CA,Pleasant Valley Joint Union Elementary,62.0,67.0,15.85
1940,631050,Tulare County,CA,Tulare County CA,Pleasant View Elementary,44.0,41.0,36.8
1941,631140,Tehama County,CA,Tehama County CA,Plum Valley Elementary,50.0,50.0,27.9
1942,631170,Plumas County,CA,Plumas County CA,Plumas Unified,59.0,66.0,20.700000000000003
1943,631180,Yuba County,CA,Yuba County CA,Plumas Lake Elementary,68.0,67.0,28.55
1945,631290,El Dorado County,CA,El Dorado County CA,Pollock Pines Elementary,56.0,61.0,11.45
1946,631320,Los Angeles County,CA,Los Angeles County CA,Pomona Unified,43.0,46.0,25.75
1947,631350,Kern County,CA,Kern County CA,Pond Union Elementary,67.0,57.0,32.95
1948,631380,Napa County,CA,Napa County CA,Pope Valley Union Elementary,54.5,64.5,13.75
1949,631400,Mendocino County,CA,Mendocino County CA,Potter Valley Community Unified,42.0,47.0,30.45
1950,631470,San Mateo County,CA,San Mateo County CA,Portola Valley Elementary,87.0,90.0,9.95
1951,631530,San Diego County,CA,San Diego County CA,Poway Unified,78.0,82.0,19.1
1952,631620,Colusa County,CA,Colusa County CA,Princeton Joint Unified,57.0,62.0,18.85
1953,631680,Fresno County,CA,Fresno County CA,Raisin City Elementary,36.0,27.0,35.25
1954,631710,San Diego County,CA,San Diego County CA,Ramona City Unified,66.0,68.0,19.1
1955,631740,San Diego County,CA,San Diego County CA,Rancho Santa Fe Elementary,89.0,93.0,19.1
1956,631830,Lassen County,CA,Lassen County CA,Ravendale-Termo Elementary,37.0,62.0,18.549999999999997
1957,631860,San Mateo County,CA,San Mateo County CA,Ravenswood City Elementary,47.0,38.0,9.95
1958,631920,Madera County,CA,Madera County CA,Raymond-Knowles Union Elementary,44.5,34.5,31.25
1959,631950,Nevada County,CA,Nevada County CA,Ready Springs Union Elementary,47.0,52.0,15.5
1960,631980,Tehama County,CA,Tehama County CA,Red Bluff Union Elementary,51.0,49.0,27.9
